GeneSymbol	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
Syt4	NA	NA	NA	NA	NA
Syt5	NA	NA	NA	NA	NA
Syt6	NA	NA	NA	NA	NA
Syt7	NA	NA	NA	NA	NA
Syt8	NA	NA	NA	NA	NA
Syt9	NA	-0.493346266607213	NA	NA	NA
Sytl1	-0.300968911819673	0.213153829270009	0.276010357703743	0.289165252808106	-0.173948095617435
Sytl2	0.169103487824195	0.0576762261007975	0.740638070134865	-0.339035613339464	0.162983853667864
Sytl3	NA	NA	0.122308886421726	0.00786321360754361	NA
Sytl4	NA	NA	NA	NA	NA
Syvn1	0.439347664783504	0.084753441990423	0.17339403801529	-0.0829034761552965	0.318249294864711
T	NA	NA	NA	NA	NA
T2	NA	NA	NA	NA	NA
Taar1	NA	NA	NA	NA	NA
Tab1	0.104085892302985	0.0999871974765796	0.156486446951384	0.104085892302985	0.457434162912005
Tab2	-0.852369077041855	-0.195956452877182	-0.726622602260518	-0.170625695782173	-0.557346395056221
Tab3	0.964550699942393	-0.28465345579025	0.643537019220414	-0.412151797651434	0.646083246626585
Tac1	NA	NA	NA	NA	NA
Tac2	NA	NA	NA	NA	NA
Tac4	0.0860769784542699	NA	NA	0.0111218158124888	NA
Tacc2	-1.29653689665501	0.0457267572231306	-1.13133623758538	0.116037477870895	-1.37444909318572
Tacc3	3.15266761329234	NA	1.64981756325367	NA	0.994198460785635
Tacr1	NA	NA	NA	NA	NA
Tacr2	NA	NA	NA	NA	NA
Tacr3	NA	NA	NA	NA	NA
Tacstd2	1.8120841607657	-0.231962138649198	2.1540996327235	0.159567284945991	1.55936143096998
Tada1	0.348359866015176	-0.106382050026214	-0.183647630579047	0.101923519918175	-1.8585828066649
Tada2a	0.190404292643446	-0.11842482008581	0.969582273831664	-0.181961616476656	0.160342292700394
Tada2b	-0.138380009485904	0.0970462531743985	-0.312202560544939	0.0151316774923389	0.458039659737809
Tada3	0.291787609149555	0.140500881761181	0.0914200405210002	-0.18772626585235	0.172029614067699
Taf10	0.307950672449187	0.242046976766664	0.481028979361957	-0.296382190414808	0.192430102140976
Taf11	0.0465398486676465	-0.00515912593050771	NA	-0.313428374231592	NA
Taf12	0.0240056046942279	0	-0.0441625888053103	0	0.335847073063637
Taf13	-0.391333516726675	-0.0887105859708743	-0.458852646947539	-0.180445998814754	-0.426186077716821
Taf1a	-0.0442329115527258	0.0200125363737484	0.299016321143558	-0.187803782261931	0.0971718563246569
Taf1b	0.134491437964529	-0.0887020611918352	-0.0247315698115766	0.456484470001052	-0.75123525681149
Taf1c	NA	NA	NA	NA	NA
Taf1d	0.812435085188348	-0.0635683777468921	0.528310289529858	-0.0893012414837249	0.465911292134134
Taf4a	0.616625182620147	-0.342598522260809	0.280662510277848	0.0397352318197823	-0.00236719867116708
Taf5l	0.178292818053164	0.157523189018605	0.312839428781393	0	0.00617476437235354
Taf6	0.089602126698562	0.21128206327872	-0.0107252642875171	-0.321790889953887	0.000522182983331732
Taf6l	NA	NA	NA	NA	NA
Taf7	NA	-0.292923338988039	0.201273113439314	0.54808359379536	0.761829803498133
Taf7l	NA	NA	NA	NA	NA
Taf8	-0.92844851286608	0.130830955329433	0.0853574438594924	0.335291033720119	-0.283695792079906
Taf9	0.0452431072764945	-0.0435848343557677	0.106995199630457	-0.0131249393013775	0.0662215254294658
Tagln	NA	NA	NA	NA	NA
Tagln2	-0.699388421021627	-0.0756654379622734	-0.704727131141861	-0.205230341857452	-1.58912786796629
Tagln3	NA	NA	NA	NA	NA
Tal1	NA	NA	NA	NA	NA
Tal2	NA	NA	NA	NA	NA
Taldo1	-0.804311394002907	0.0276239785440104	-0.62585658931293	-0.492639623481582	-1.43839564229405
Tanc1	0.408312662759004	-0.129563164769859	0.823823496115336	0.210548369589121	1.44165280944116
Tank	-0.187522004276979	-0.196863414445062	-1.00533398764063	-0.107491453377817	0.159834452973391
Taok1	0.0722699930774162	0.194580073716422	-0.0873892594233361	-0.0239947385459995	0.0700829484178618
Taok3	-0.367204317087269	0.166568048897674	-0.225753274930075	0.011157766949903	-0.329679080413512
Tap1	1.34457895810594	-0.233653938567256	0.633333267553295	-0.118458408333353	0.873335940853986
Tap2	0.866926105193995	-0.179867878575763	-0.0470626709243067	-0.35211627752502	0.183714988633264
Tapbp	1.19509084160968	-0.116511123897562	-0.228276381447543	-0.137063982142235	0.113841915820823
Tapbpl	1.28306898755181	-0.17998223462161	0.444336504022136	-0.108093995637825	NA
Tarbp2	0.429272326839533	0.3020093400245	0.548349452889152	-0.017822960560113	NA
