gene	log2FoldChange
Mfge8	-0.691354219
Cep70	1.098354168
Plk4	0.926288716
Pspc1	-0.607274285
Tcf12	-0.469451629
Chmp4c	-0.783720804
Chst13	-1.904521222
Col6a1	-0.65188537
Cry2	-0.758111998
Mt2	0.686016736
Tnks1bp1	-0.680535231
Tonsl	1.404809086
Tuba1c	-0.634673173
Fam83c	1.309844937
Areg	1.283388424
Rev3l	-0.577366193
Pm20d1	-0.927742602
Mamld1	0.820718274
Rab44	1.885123129
Pitpna	-0.513005844
Avpi1	-0.54148325
Dcn	0.889722796
Nog	-0.65838994
Shc2	1.772624596
Bmp2	-0.748387523
Dhx32	-0.567156451
Ehf	1.470157035
Klhl5	0.962011824
Ptafr	1.80561345
Snora24	1.405579947
Usp2	-0.842786914
Mcm3	1.074698123
Pkib	1.14984441
0610007N19Rik	1.276691947
Igfbp4	0.728457196
Krt24	-0.50841851
B4galnt3	-0.725517153
Lpin1	0.79498779
Amigo1	0.772281073
Dkk3	-0.52017811
Pcdh7	-0.725956138
Micalcl	-0.660858585
Mdga1	0.782453783
Zfand1	0.960243198
Gpx8	0.798629105
Ivd	-0.71256831
Krtcap2	0.80110851
Shroom3	0.960414319
Zfp804b	1.859314465
Cdh3	-0.561513307
Espl1	1.254696569
Pcbd1	1.83175276
Tmem115	-0.618045241
Cyb5	0.841361916
Fosl1	-0.661931717
Sulf2	-0.703740825
2500004C02Rik	1.739792979
Dll1	0.848067565
2900026A02Rik	-0.719019318
Ptpn12	-0.647336675
Ppp2r3a	-0.521474662
Dap	-0.65479792
Ggta1	-0.583366818
Rnf34	-0.717113702
Ackr3	0.99322157
Zfp873	1.818057783
Dnd1	-1.527724401
Tnfrsf19	1.52617565
Hmga1	-0.53520101
Tnrc18	-0.586719661
Ttc7b	0.922496941
Itm2a	0.885194522
Dph6	0.807042659
Sox9	-0.726366658
Tpm3-rs7	0.80827987
Ftsj1	0.683909738
Sigmar1	-0.608705823
Vat1	-0.547965993
Ggt6	0.925034901
Hdgfrp3	-0.550192
Rhebl1	1.464173219
8430429K09Rik	1.361354262
Gm15987	1.30934546
Gyk	0.832521592
Lin9	1.054339616
Scmh1	-0.584691717
Secisbp2l	-0.512384023
Slc7a6os	-0.528413663
Sox4	0.707915866
Nt5dc3	-0.62603996
Gm24407	1.840068722
Muc1	1.074018243
Acsl3	-0.643987447
Hebp2	1.134373252
Cpne8	0.601802952
Dock2	1.850298764
Rasd2	-0.880874471
Zfp108	1.853206836
Il18r1	1.517728363
Churc1	1.649761214
Topbp1	0.559099017
2310050C09Rik	-0.767005224
Camkk1	-0.605386189
Gpr161	-0.854015512
Endou	1.195431482
Spats2l	-0.784857921
Ier2	-0.59731871
Lbp	-1.274836258
Micall1	-0.7141728
Cep170b	-0.575574289
Ppp1r10	-0.547615253
Prpf3	-0.602140961
Npr3	1.573218709
Tsr1	-0.539220573
Nav2	0.97079981
Tap2	0.477790381
Vasp	-0.5408411
Bend4	1.157035534
2610020H08Rik	1.426622659
Krtdap	0.759104887
Phf20	-0.687932003
5730559C18Rik	-0.820011313
Ctgf	-0.720299233
Foxp1	-0.525581061
H2-Q10	1.687928702
Il33	0.978556914
Lgals12	1.10239968
Megf6	0.55697028
Nit2	0.940977306
Slc1a5	-0.596218454
Usp43	-0.852309701
Atf5	0.695738155
Ppp1r18	-0.571133009
Wipf2	-0.554955103
Cyp27b1	1.122698493
2610528J11Rik	1.753893668
Tspan18	1.50266858
Slc16a2	0.631287338
Clcf1	-0.816487363
Arl14ep	0.8812378
Eif4a3	-0.500215528
Cldn1	0.648674876
Gm25395	1.809934448
Wwc1	0.652855653
Enah	-0.736184794
Id2	-0.61649454
Pdzrn3	-0.582586385
D8Ertd82e	0.761404024
Fzd2	-0.549341362
Nr2f6	-0.536743673
Spdl1	1.169379008
Top1	-0.572703352
Zfp760	1.408506197
Lgals3	-0.660122104
Cmtr2	-1.009893224
Mcm6	0.673528123
Zfp703	-0.648817783
Amz2	0.840755164
Aqp3	-0.61117096
Dtna	1.806139905
Zfand5	0.451795846
Fgd4	-0.827890073
Rad1	1.050276824
Kcnn3	1.753177652
Nek2	1.121131268
Slc4a9	1.798837593
Tyms	0.860221624
Sap30bp	-0.544713378
Cplx2	1.006235936
C4a	1.501347536
Rrbp1	-0.473007191
Ubqln4	-0.510514636
Axin2	0.852330485
Mgat1	-0.661131394
Plod2	1.223838611
Slc9b2	1.78954623
Crem	0.619659779
Cyp46a1	-1.160935828
Mob3a	-0.617408271
Clspn	1.415247574
Ctss	1.558044653
Fxyd5	1.350327077
Prr11	1.667786664
Rasl12	1.770809614
Rrad	1.040880755
Ndufa3	0.800867371
Iqsec1	-0.568357981
Arhgap23	-0.667506982
Ccdc137	-0.628535112
Cdk12	-0.587100176
Clec7a	1.792190018
Grhl1	-0.536365936
Mid1ip1	0.624856105
Mthfr	0.638504901
Pafah1b3	0.771519832
Pdlim7	-0.695590694
Poglut1	0.718773064
Lypd6	-0.804760432
Arid4a	-0.60212513
Pik3r3	-0.704124502
Unc5b	-0.493391738
Urgcp	-0.583620665
Wsb2	-0.532700784
Ppp1r36	1.341598208
Fam83h	-0.624757589
Tmem242	0.714773996
Cdc42bpb	-0.568255497
Dab2ip	-0.514990701
Emc2	0.704434404
Dck	0.972007761
Mitd1	1.017468605
Cox7a2l	0.5271755
Trib1	-0.57810866
Ptprb	1.618439844
Uhrf1	0.687550442
Capg	-0.491936069
Reep4	0.85946707
Cblc	0.924453154
Cyp3a13	1.412253541
Itgb6	-0.83138593
Pls3	-0.593656128
Rorc	-0.666857238
Ifitm3	0.548432539
Kifc1	1.430548086
Cpe	0.53146591
Spp1	-1.462999902
Gm16008	1.768166211
Tk1	1.165147394
Gm5506	0.774836371
Hr	-0.480462821
Lrat	1.734096985
Plbd1	1.057538772
Wdfy1	-0.612317992
Zfp677	1.129468684
Asap3	0.811950063
Ppap2b	-0.562714743
Dapk2	-0.506607086
Lamtor5	0.821931933
mt-Cytb	0.443543971
Gm8995	1.540996405
Gmcl1	0.902916937
H2-K2	-1.60979434
