Probe_ID	GeneSymbol	aHFSC1	aHFSC2	qHFSC	TAC1	TAC2
1460487_at	1110014L15Rik	NA	NA	NA	NA	NA
1429834_a_at	1110014N23Rik	-0.417093042557267	0.23134997849349	0.167309465824056	0.610186438952187	0.517067328326384
1438205_at	1110014N23Rik	NA	NA	NA	NA	NA
1454825_at	1110014N23Rik	0.220729307008156	0.322767330581732	0.403834171777095	0.458763628867493	0.385744066203422
1453443_at	1110015O18Rik	NA	NA	NA	NA	NA
1429471_at	1110017D15Rik	NA	NA	NA	NA	NA
1444262_at	1110017F19Rik	NA	NA	NA	NA	NA
1429468_at	1110018F16Rik	-0.526419654351034	-0.747394237691633	0.154544156151202	NA	-1.57865476010062
1433767_at	1110018G07Rik	0.111907866716376	0.250953136772781	-0.0954878290936509	-0.0190655907392738	0.549930702007633
1454721_at	1110018G07Rik	NA	NA	NA	NA	-0.197525840060999
1421018_at	1110018J18Rik	-0.191453397173657	0.0318724769863508	-0.323258717917736	-0.0706616842859642	-0.358543912388866
1434441_at	1110018J18Rik	-0.956374436261179	-1.09518276766249	-0.780302570977983	-1.47778577699792	-1.85794428426894
1456669_at	1110018N20Rik	NA	NA	NA	NA	NA
1431884_at	1110019B22Rik	NA	NA	NA	NA	NA
1453434_at	1110019D14Rik	0.0788374909267748	-0.0993867725799884	NA	-0.461424115876487	-0.470888124216311
1456203_at	1110020A10Rik	-1.67691073531233	-2.58322094264101	-0.79284181612197	1.97312896687664	0.599364467882708
1439574_at	1110020A21Rik	NA	NA	NA	NA	NA
1432233_at	1110020C17Rik	NA	NA	NA	NA	NA
1419892_at	1110021J02Rik	NA	NA	NA	NA	NA
1444550_at	1110021J02Rik	-0.369113293006129	-0.606028797878029	-0.323169563619937	-0.86768344262425	-0.860195825363001
1452437_at	1110021J02Rik	NA	NA	NA	NA	NA
1428795_at	1110021L09Rik	0.0562835232396184	0.181350983825101	-0.159975480569672	-0.372509360777168	-0.483541823099888
1431383_at	1110028F11Rik	NA	NA	NA	NA	NA
1447051_at	1110028F11Rik	NA	NA	NA	NA	NA
1431584_at	1110028F18Rik	NA	NA	NA	NA	NA
1418331_at	1110031I02Rik	0.101563439779474	0.0449849785323249	0.149717137910033	-0.40352345237638	-0.502557777379304
1417211_a_at	1110032A03Rik	0.0270354465882487	-0.151161526580031	0.225249893327939	-0.204140206627526	-0.558647102650837
1445336_at	1110032A03Rik	NA	NA	NA	NA	NA
1417802_at	1110032A04Rik	NA	NA	NA	NA	NA
1417803_at	1110032A04Rik	-0.448216848512659	0.365838687636876	-0.135478859459282	2.58681666323548	3.37085788363769
1443515_at	1110032F04Rik	NA	NA	NA	NA	NA
1456509_at	1110032F04Rik	NA	NA	NA	NA	NA
1448697_s_at	1110034A24Rik	0.0147093715712714	0.00469827852321636	0.0172549078315889	0.391788594503442	0.412199782013246
1453183_at	1110034A24Rik	0.0491660119159505	-0.0595939929991047	-0.0147465541511131	0.712063171558053	1.18167375881344
