gene	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
2310004N24Rik	-0.283781283657486	0.301003570753536	-0.257880584287417	-0.118591511703338	-0.0374283184923119
2310008H04Rik	-0.446827227580888	-0.0504710283258198	-0.830924219695673	0.612606934129246	-0.811056008630222
2310008H09Rik	0.502366186724822	-0.0109839071304241	-0.247741224004389	-0.150764427007044	-0.362932418107513
2310010J17Rik	-1.08741681451964	0.418062550429762	-0.762874709662705	-0.241991558155749	-0.757589083898247
2310011J03Rik	-0.244136418211264	0.179303917296476	-0.397734230723817	-0.0531396489213574	-0.244846964007001
2310014L17Rik	-1.39047415507688	0.0786729804526516	-1.52407345284957	0.0607379079991333	-0.907082046136417
2310016M24Rik	-0.258990225463954	0.103491168267038	0.0406118038891545	-0.14344556821608	-0.383654267854313
2310022A10Rik	0.430461395234292	0.164595938347393	-0.27008730897174	0	0
2310030G06Rik	-1.99152698318039	0.0430337417837752	-1.17724226372841	0.494785849461001	-2.92406713956741
2310031A07Rik	0.212223737594361	0.324160467513842	0.0703177565152009	0.0703177565152009	0.0244605158879194
2310033E01Rik	-0.400945869809274	-0.286776259189021	-0.408819006938675	-0.392271052129306	-0.114672632781714
2310033P09Rik	-0.0523641232756074	-0.0270760546650681	-0.0755914381298961	-0.0523641232756074	-0.0589224553107419
2310034C09Rik	0.150503226845379	0	-0.0783269848345327	-0.0246159995929602	0.0804750594738999
2310035K24Rik	-0.122979669336289	0.562530538715196	-0.183347136823324	-0.205824387217919	0.129758016033525
2310036O22Rik	-0.41807287867096	0.111736705241745	-0.515717136035052	-0.0573437933445362	-0.439414071909322
2310039H08Rik	0.0912681846130443	0.151112827888847	-0.216165632454187	-0.384672436133517	-0.14891769553063
2310042E22Rik	1.50389855478959	-0.000902674884153853	0.85318754581629	-0.0288078824852898	2.28935398735352
2310044G17Rik	-0.635003527130809	-0.302448013234155	-0.153890343325285	-0.247331893689029	-0.452479202601813
2310044H10Rik	0.109269532723166	0.101240499096152	-0.0850555852160486	-0.080982979888331	-0.533837516861803
2310047B19Rik	-0.0816741249002764	0.0300852989174025	0.450551718070017	0.15838258434924	-0.54528866016635
2310050C09Rik	0.0186779048433525	-0.261690718700326	1.25767844552503	-0.0466774712534095	2.30132987633059
2310057J18Rik	-0.180917372595466	-0.108037892294973	-0.108228841811064	-0.0121691068193055	0.110466815495149
2310057N15Rik	0.0431912597871293	0.0380372419943353	0.0431912597871293	0.0431912597871293	0.0855983705428285
2310061C15Rik	0.526751192479695	0	0.196275157390512	-0.334288702779813	-0.138460193695785
2310061I04Rik	0.0758132234614006	0.130600584811564	0.169226139896507	-0.0403828254141656	-0.892642907130589
2310061J03Rik	-0.423166575761263	0.347890930774816	-0.682526266976828	-0.276770476046636	-0.329942677103304
2310065H11Rik	-0.180917372595466	-0.108037892294973	-0.108228841811064	-0.0121691068193055	0.110466815495149
2310067B10Rik	-0.139099679080355	-0.0479928084430963	-0.0479928084430963	-0.0143520531781007	0.396260172509479
2310075K07Rik	-0.747193658739454	0.0772577080028318	-0.369234656020244	-0.0828976529128882	-0.531165958973952
2310079F23Rik	-0.130809855972085	0.192432713945561	-0.157144450047942	-0.215398845523827	-0.456611313331033
2400001E08Rik	0.00299492135860024	0.0275266706741721	-1.01155454147892	-0.249691211850886	-0.478277802806632
2400003C14Rik	-0.05706142581246	-0.253534477110502	0.137550927163547	0.20679052843424	-0.327755151341904
2410001C21Rik	-0.253213047661514	0.0440147298214191	-0.288732606830842	-0.102201265239551	-1.33227395614991
2410002F23Rik	0.957907613917458	0.0220455119896847	0.97251429495214	0.108977640718335	-0.213182404850402
2410002I01Rik	0.908568812024327	0.193579660719595	0.972068626961439	0.182029963751464	0.472651030460337
